,sensor_index,name,latitude,longitude,primary_id_a,primary_key_a,primary_id_b,primary_key_b
0,3499,Ukrainian Village,41.892696,-87.68569,334460,39XP408ZUPEBCDG9,334462,9C5YMT1EQBOR1QRS
1,4395,West Rogers Park,41.996,-87.692,366354,CQGYK17LJR6117E5,366357,AH111ZGKGPC94T2B
2,5554,LVEJO_Location4,41.853764,-87.69303,391960,A23GN3YNL88JSLI1,391962,3CB7Q4FNN46SCB88
3,5588,1138 PLYMOUTH,41.868893,-87.62943,392051,9IQJ5SH47AXVZB1J,392053,BOG4IEYJLYF2AZYO
4,5670,LVEJO_7,41.853355,-87.72653,393374,2YANYKFIV2VOIYA2,393376,ROZBU61BQMWDBCC1
5,5762,Damen,41.797195,-87.67423,395471,NRXXXO3CGQSA874E,395473,LD888UKY9KM7D6XY
6,5774,LVEJO_5,41.840347,-87.73412,395514,9WOL7PCGSU9ZV8P5,395517,2TDGMCMLRQPM745H
7,7920,LVEJO_5,41.849483,-87.69537,433641,YDAQR3QP7EOIIJUY,433643,6CN4C6TNZHD49HFF
8,8476,SASA_PA2_SL_W,41.861206,-87.62989,444929,XZFRBSG34JTKH881,444931,SEXRBR6R0VREHLP1
9,140102,Archer and 39th Pl,41.82193,-87.69146,1601696,L9PBC16WQP0ME5A2,1601698,6KV7AAPGQMJ1IIX0
10,10416,The Heart of Riverside,41.83212,-87.81295,492787,8AIRE5KHH031QJZS,492789,PMEMPY4K8QVDYJXJ
11,36281,Bridgeport SW,41.82936,-87.65014,838316,WKIGR7OPOMRS3EV9,838318,ZZDCJ954OODPHD0H
12,39173,West Lawn,41.76776,-87.73013,865861,1L0G3EP9KKA8AQGU,865867,W4BEJJPLPCXLCCFA
13,41581,"Otis, Chicago",41.861,-87.6632,912494,5XY5AEYO4QN1WW1M,912496,VV26SGSQAOIJLRMA
14,51943,CFD Eng. 99,41.837326,-87.72829,1034895,L4FA52104B0IT8BY,1034897,YRCLAN054BLF52BQ
15,52011,CPS Burr Elem,41.911945,-87.66863,1035070,QU69UFQ2MDL7DL33,1035072,FRPU9DDON6T20HZE
16,56135,West Humboldt Park,41.902527,-87.73614,1064392,WGJ5UGF0K7A0E0BJ,1064394,W9MZC7VW52G4NC6F
17,57441,Edgewater,41.991684,-87.656906,1078598,WQDIG1WBX2S88N2Q,1078600,M1CTEVHD163RKA1L
18,58827,Studio Gang Green Roof,41.9036,-87.66581,1092306,YCHR5X17YL3E37TO,1092308,Q2DKCW3ZU5RIFTXK
19,58865,Studio Gang,41.903515,-87.66598,1092386,1QGOSTTRQWGYBSHF,1092388,PKP1FPNFYA9A4WSP
20,87741,Ukrainian Village Chicago,41.90011,-87.68288,1215908,KP43J7MJGIHV457E,1215911,5BPZD02Y5UXI0GHY
21,95801,38th and Damen,41.82493,-87.675125,1266797,2598SH882DLCW4WA,1266799,GZ0BS8QWDKH3HMPQ
22,96035,36th and Paulina,41.828648,-87.66791,1267967,6AB8IRLJJPKIFME0,1267969,L3Y8P2IWC9NY4HLO
23,96079,45th and Ashland,41.81229,-87.66579,1268057,K0V3HAL9KFNJNPV9,1268059,M6PANLENRKQESAD3
24,96815,NEIU-3.2,41.980316,-87.71655,1273677,IBKM2W3SFG4RSGYJ,1273679,G8QAF5ZXPAJEDD4S
25,100261,Outside Ishnala,41.659073,-87.803925,1311736,UXZAHYB4QM70W5SF,1311738,HUTZM7E42WKFHEEX
26,101643,NEIU-1.2,41.98029,-87.71678,1331749,Y94ISPDTP36ECM2D,1331751,TBDNX59RE5BW782Q
27,109598,Hubbard & May,41.89003,-87.65576,1420616,UMLLXZ9Y0FPOXF5T,1420618,CT2E3ZRO81TUEJL5
28,113494,LVEJO,41.846687,-87.70752,1440122,9O7I4C3E4GZ46WWX,1440126,SNCNY2YTNI3YP0RN
29,120369,La Grange Country Club Section,41.79734,-87.876686,1475008,PMUKYJXJKWYFX2E9,1475010,N4BBK5VVQSYKUP9I
30,122281,La Paz - Dickens (Roof),41.91985,-87.71523,1483920,WX3EK9ZBVHZ6EMLM,1483922,U0UBI4NJ82O08V2V
31,124611,NEIU-2.4,41.98026,-87.7166,1492718,G327U114325UYEYR,1492720,0Y2S2NL9D6JK4R9W
32,128349,"South Deering, Chicago 60617",41.7118,-87.55293,1509403,5CLTUUZW5Y3KUD8R,1509405,YMI4N6LQWWLZKNKX
